"","CLADE_label","ID_label","avgFactor","avgIncDec","mean","lower","upper","avgCladeDiv","cladeDiv_low95","cladeDiv_high95","nodeMCC","numTaxa","from","to","Indep","tipDR_median","tipDR_low95","tipDR_up95","tipDR_skew"
"27","Cricetidae","T",1.5,"upShift",35.7,31.4,40.5,0.195,0.175,0.221,10293,726,"Prometheomys_schaposchnikowi_CRICETIDAE_RODENTIA","Sigmodon_planifrons_CRICETIDAE_RODENTIA",1,0.219037703435993,0.0881962422751913,0.434318242172055,0.684234333489132
"28","Murinae","U",1.5,"upShift",32.9,28.1,37.8,0.189,0.172,0.219,9662,632,"Pogonomelomys_mayeri_MURIDAE_RODENTIA","Musseromys_inopinatus_MURIDAE_RODENTIA",0,0.211560814524897,0.100162907274957,0.428767405392824,0.926007258802473
"32","Gerbillinae","X",1.5,"upShift",17.3,14.5,19.9,0.212,0.198,0.226,9521,80,"Taterillus_congicus_MURIDAE_RODENTIA","Ammodillus_imbellis_MURIDAE_RODENTIA",1,0.28513130880315,0.112675524782365,0.452894994765338,0.312825361709358
"19","Rhinolophidae","L",1.6,"upShift",14.2,10.4,18.8,0.225,0.184,0.288,8004,87,"Rhinolophus_luctus_RHINOLOPHIDAE_CHIROPTERA","Rhinolophus_landeri_RHINOLOPHIDAE_CHIROPTERA",1,0.278964533926505,0.151019638096329,0.512013093172815,0.65897907909287
"21","Simiiformes","N",1.7,"upShift",31.5,26.4,36.9,0.227,0.197,0.269,8543,313,"Cacajao_calvus_PITHECIIDAE_PRIMATES","Allenopithecus_nigroviridis_CERCOPITHECIDAE_PRIMATES",1,0.344855053235241,0.175815752147461,0.498370797679084,-0.149163418267999
"22","Strepsirrhini","O",1.7,"downShift",49.6,42.2,57,0.083,0.074,0.087,8399,135,"Nycticebus_coucang_LORISIDAE_PRIMATES","Allocebus_trichotis_CHEIROGALEIDAE_PRIMATES",1,0.250985419486486,0.0768797041785262,0.39405249058329,-0.182091687621622
"29","Apomys-Melomys","V",1.7,"upShift",20.9,NA,NA,0.228,0.203,0.252,10098,206,"Chiropodomys_muroides_MURIDAE_RODENTIA","Apomys_gracilirostris_MURIDAE_RODENTIA",1,0.258827442390108,0.125955997886551,0.428082596235164,0.180134380984134
"8","Pecora","E",1.8,"upShift",18.2,15,21.4,0.229,0.219,0.236,6570,215,"Okapia_johnstoni_GIRAFFIDAE_CETARTIODACTYLA","Boselaphus_tragocamelus_BOVIDAE_CETARTIODACTYLA",1,0.272364126012817,0.09371169663188,0.502838975179485,0.162844142500425
"20","Crocidurinae","M",1.9,"upShift",17.9,17.1,18.7,0.259,0.244,0.298,6014,213,"Feroculus_feroculus_SORICIDAE_EULIPOTYPHLA","Crocidura_erica_SORICIDAE_EULIPOTYPHLA",1,0.278595748803858,0.148828743042311,0.486798085935193,0.772838306529715
"3","Macropodidae-Potoridae","B",2.3,"upShift",25,15.8,38,0.32,0.308,0.331,11714,78,"Lagostrophus_fasciatus_MACROPODIDAE_DIPROTODONTIA","Aepyprymnus_rufescens_POTOROIDAE_DIPROTODONTIA",1,0.191468373301637,0.102947160443871,0.354297086115068,0.611858319689965
"31","Rattus-Srilankamys","W",2.3,"upShift",11,9.2,12.7,0.321,0.265,0.357,9759,109,"Berylmys_bowersi_MURIDAE_RODENTIA","Srilankamys_ohiensis_MURIDAE_RODENTIA",1,0.343325490393485,0.212422851439585,0.589899946377932,1.44413786594378
"17","Pteropus","J",3.2,"upShift",10.1,7.8,12.7,0.431,0.352,0.585,8238,69,"Pteropus_capistratus_PTEROPODIDAE_CHIROPTERA","Acerodon_jubatus_PTEROPODIDAE_CHIROPTERA",1,0.403589907137831,0.190239169181492,0.790374866933813,0.696575369995422
"24","Ctenomyidae","Q",4,"upShift",6.8,3.6,13.3,0.548,0.429,0.638,9394,65,"Ctenomys_tuconax_CTENOMYIDAE_RODENTIA","Ctenomys_lewisi_CTENOMYIDAE_RODENTIA",1,0.490028638168797,0.347373811767978,0.751075639841551,0.232952964971927
